stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoImage.started,demoResp.started,demoFixation.stopped,demoResp.keys,demoResp.rt,Feedback.started,demoLoop.started,demoLoopResp.started,Feedback.stopped,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,exp_resp.keys,exp_resp.rt,expFeedback.started,expFeedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.12867279999773,12.12867279999773,y,0.5447779999958584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
,,,,,,,,,,,,,,,,12.807212799991248,13.679389600001741,13.812636799993925,14.683609699990484,14.683609699990484,15.179652299993904,15.179652299993904,15.196568500003195,y,0.2633118999947328,15.51916739999433,16.514150999995763,16.514150999995763,16.53008489999047,y,0.3561543999967398,16.9618172999908,16.9618172999908,y,1.9116339000029257,,,,,,,,,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - Cat.jpg,n,,,,,,,0,0,0,31,,,,,,,,,,,,,,,,,,,,,,,,,18.915029299998423,19.38050569999905,19.38050569999905,19.4298764999985,y,1.0925788000022294,20.49649109999882,21.496906300002593,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/F - Mugs.jpg,y,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,21.496906300002593,21.980649099990842,21.980649099990842,21.99672899999132,y,0.5210660000011558,22.529604800001835,23.65403019999212,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - HoshinoAI.png,n,,,,,,,0,2,2,42,,,,,,,,,,,,,,,,,,,,,,,,,23.65403019999212,24.03084829999716,24.03084829999716,24.164096799999243,y,0.584594100000686,24.695217400003457,,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - Duck.png,n,,,,,,,0,3,3,40,,,,,,,,,,,,,,,,,,,,,,,,,25.663329199989676,26.14724049999495,26.14724049999495,26.163809899997432,n,1.1544737999938661,27.330257900001016,28.347488999992493,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/AF - Otter.jpg,y,,,,,,,0,4,4,28,,,,,,,,,,,,,,,,,,,,,,,,,28.347488999992493,28.83061639999505,28.83061639999505,28.8473027,y,0.9627586999995401,29.81369480000285,30.8140379999968,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/NF - House.jpg,n,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,30.8140379999968,31.313891600002535,31.313891600002535,31.313891600002535,n,0.8437872000067728,32.180293500001426,33.259516899997834,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - Aquamarine.png,n,,,,,,,0,6,6,39,,,,,,,,,,,,,,,,,,,,,,,,,33.259516899997834,33.68095159999211,33.68095159999211,33.76412859999982,n,1.6039274000067962,35.313436600001296,36.332128699999885,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
images/ANF - girl 2.png,n,,,,,,,0,7,7,41,,,,,,,,,,,,,,,,,,,,,,,,,36.332128699999885,36.81418169999961,36.81418169999961,36.84775619998982,n,2.952640000003157,39.79702469999029,40.7978349999903,218225,001,2023-05-29_00h32.17.437,pareidolia,2023.1.2,59.92893627217672,
