stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoFixation.started,demoInstruction.stopped,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,expImg.stopped,exp_resp.stopped,exp_resp.keys,expFeedback.started,expFeedback.stopped,exp_resp.rt,goodbye.started,goodbye_resp.started,goodbye_resp.keys,goodbye_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7.096586899991962,7.096586899991962,y,0.9648191000160296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
,,,,,,,,,,,,,,,,8.10758649998752,9.082099299994297,9.115090699997381,10.081198599989875,10.098529599999893,10.582420799997635,10.582420799997635,10.582420799997635,y,0.36335530001088046,10.96490319998702,11.964891699986765,11.964891699986765,11.964891699986765,y,0.8938382000051206,12.881722699996317,12.881722699996317,y,1.341531300015049,,,,,,,,,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Bag.jpg,y,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14.264646799987531,14.732273999994504,14.732273999994504,14.76547969999956,17.731755399989197,17.731755399989197,None,17.731755399989197,18.81475189999037,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - HoshinoAI.png,y,,,,,,,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,18.81475189999037,19.232388199990964,19.232388199990964,19.315727699999115,22.231549099989934,22.231549099989934,None,22.231549099989934,23.232292599990615,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Cat.jpg,y,,,,,,,0,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,23.232292599990615,23.73178149999876,23.73178149999876,23.73178149999876,26.7321549999906,26.7321549999906,None,26.7321549999906,27.73231059999671,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - Duck.png,n,,,,,,,0,3,3,40,,,,,,,,,,,,,,,,,,,,,,,,,27.73231059999671,28.23239009999088,28.23239009999088,28.23239009999088,,,y,28.332343799993396,,0.0801359000033699,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Vege.jpg,y,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,29.33243379999476,29.81547979998868,29.81547979998868,29.832385299989255,,,y,30.16513889998896,31.17959859999246,0.31701020001492,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Panda.jpg,y,,,,,,,0,5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,31.17959859999246,31.66736909998872,31.66736909998872,31.68505759999971,,,y,31.699225199990906,32.78061319999688,0.012193700022180565,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - HoshinoAI.png,n,,,,,,,0,6,6,42,,,,,,,,,,,,,,,,,,,,,,,,,32.78061319999688,33.19851099999505,33.19851099999505,33.28242489999684,36.198580199998105,36.198580199998105,None,36.198580199998105,37.19874059999711,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - Fox.jpg,n,,,,,,,0,7,7,32,,,,,,,,,,,,,,,,,,,,,,,,,37.19874059999711,37.699049399991054,37.699049399991054,37.699049399991054,40.69931579999684,40.69931579999684,None,40.69931579999684,41.83366179998848,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Aquamarine.png,y,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,41.83366179998848,42.19935239999904,42.19935239999904,42.332934499994735,,,None,45.20220449999033,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - Aquamarine.png,n,,,,,,,0,9,9,39,,,,,,,,,,,,,,,,,,,,,,,,,46.29298889999336,46.70058209999115,46.70058209999115,46.799654399990686,49.70065239998803,49.70065239998803,None,49.70065239998803,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Knight.png,y,,,,,,,0,10,10,27,,,,,,,,,,,,,,,,,,,,,,,,,50.730654499988304,51.199214699998265,51.199214699998265,51.23200399999041,54.198896699992474,54.198896699992474,None,54.198896699992474,55.19902239998919,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - girl 1.png,n,,,,,,,0,11,11,33,,,,,,,,,,,,,,,,,,,,,,,,,55.19902239998919,55.68093649999355,55.68093649999355,55.71589459999814,58.68505989998812,58.68505989998812,None,58.69946199998958,59.69936269999016,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Bag 2.jpg,n,,,,,,,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,59.69936269999016,60.199236299988115,60.199236299988115,60.199236299988115,63.19900659999985,63.19900659999985,None,63.19900659999985,64.21347930000047,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Chilli.png,y,,,,,,,0,13,13,37,,,,,,,,,,,,,,,,,,,,,,,,,64.21347930000047,64.69950879999669,64.69950879999669,64.71621419998701,67.70125459998962,67.70125459998962,None,67.70125459998962,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - Otter.jpg,n,,,,,,,0,14,14,35,,,,,,,,,,,,,,,,,,,,,,,,,68.7158330999955,69.19903319999867,69.19903319999867,69.21590260000085,72.19942669999728,72.19942669999728,None,72.19942669999728,73.19970109999122,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
