stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,demoLoop.started,demoLoopResp.started,Feedback.stopped,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,expImg.stopped,exp_resp.stopped,exp_resp.keys,expFeedback.started,expFeedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,124.85852629999863,124.85852629999863,y,3.140373499991256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
,,,,,,,,,,,,,,,,128.26020720000088,129.01148480000847,129.26146360000712,130.01145580000593,130.01145580000593,130.51098150000325,130.51098150000325,130.51098150000325,y,0.28909289999864995,130.97548210000969,131.96110650000628,131.96110650000628,131.9771591000026,y,1.2536735999892699,133.36982410000928,133.36982410000928,y,1.1147089999867603,,,,,,,,,,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/F - Chilli.png,y,,,,,,,0,0,0,37,,,,,,,,,,,,,,,,,,,,,,,,,134.53964200000337,135.0115860000078,135.0115860000078,135.04453120000835,138.01066189999983,138.01066189999983,None,138.01066189999983,139.02817220000725,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - Cat.jpg,n,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,139.02817220000725,139.49487520000548,139.49487520000548,139.52819830000226,142.4948257000069,142.4948257000069,None,142.4948257000069,143.6666632000124,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/AF - HoshinoAI.png,y,,,,,,,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,143.6666632000124,143.99514260000433,143.99514260000433,144.17845980000857,146.99457480000274,146.99457480000274,None,147.01136010000482,148.03349180000077,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/AF - Otter.jpg,y,,,,,,,0,3,3,28,,,,,,,,,,,,,,,,,,,,,,,,,148.03349180000077,148.4999714000005,148.4999714000005,148.53516970000055,151.51082280000264,151.51082280000264,None,151.51082280000264,152.5328109000111,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - knight.png,n,,,,,,,0,4,4,34,,,,,,,,,,,,,,,,,,,,,,,,,152.5328109000111,153.04495970001153,153.04495970001153,153.04495970001153,,,None,156.0277577000088,,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/F - Bag 2.jpg,y,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,157.0439594000054,157.51166220000596,157.51166220000596,157.54477910000423,160.5121336000011,160.5121336000011,None,160.5121336000011,,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF- Dance.png,n,,,,,,,0,6,6,36,,,,,,,,,,,,,,,,,,,,,,,,,161.55575800000224,162.01144170000043,162.01144170000043,162.06126510001195,165.01112890000513,165.01112890000513,None,165.01112890000513,166.01131909999822,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - Fox.jpg,n,,,,,,,0,7,7,32,,,,,,,,,,,,,,,,,,,,,,,,,166.01131909999822,166.49537820000842,166.49537820000842,166.51184930000454,169.49453599999833,169.49453599999833,None,169.5113524000044,170.53273630001058,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - Panda.jpg,n,,,,,,,0,8,8,43,,,,,,,,,,,,,,,,,,,,,,,,,170.53273630001058,171.011989000006,171.011989000006,171.04485479999857,174.0113943000033,174.0113943000033,None,174.0113943000033,175.01203160001023,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/NF - Tiang.jpg,n,,,,,,,0,9,9,18,,,,,,,,,,,,,,,,,,,,,,,,,175.01203160001023,175.51142220001202,175.51142220001202,175.51142220001202,178.51122450000548,178.51122450000548,None,178.51122450000548,179.66185950000363,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - HoshinoAI.png,n,,,,,,,0,10,10,42,,,,,,,,,,,,,,,,,,,,,,,,,179.66185950000363,180.01273430000583,180.01273430000583,180.1617610000103,183.01205070001015,183.01205070001015,None,183.01205070001015,184.0119076000119,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/NF - Bag.jpg,n,,,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,184.0119076000119,184.49494780000532,184.49494780000532,184.51165310000943,187.49457950000942,187.49457950000942,None,187.5114797999995,188.51206520000414,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/F - Mugs.jpg,y,,,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,188.51206520000414,188.9948454000114,188.9948454000114,189.0124128000025,191.99558870001056,191.99558870001056,None,191.99558870001056,192.9946493000025,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/NF - Mugs.jpg,n,,,,,,,0,13,13,16,,,,,,,,,,,,,,,,,,,,,,,,,193.0115087000013,193.51159410001128,193.51159410001128,193.51159410001128,196.51214830001118,196.51214830001118,None,196.51214830001118,197.51216019999993,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - Duck.png,n,,,,,,,0,14,14,40,,,,,,,,,,,,,,,,,,,,,,,,,197.51216019999993,198.0119088000065,198.0119088000065,198.0119088000065,201.01245220001147,201.01245220001147,None,201.01245220001147,202.0274819000042,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/AF - Cat.jpg,y,,,,,,,0,15,15,24,,,,,,,,,,,,,,,,,,,,,,,,,202.0274819000042,202.5120132000011,202.5120132000011,202.5288009000069,205.5125956999982,205.5125956999982,None,205.5125956999982,206.6652671000047,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/ANF - Aquamarine.png,n,,,,,,,0,16,16,39,,,,,,,,,,,,,,,,,,,,,,,,,206.6652671000047,207.01325760000327,207.01325760000327,207.17961070001184,210.012249899999,210.012249899999,None,210.012249899999,211.0326264000032,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/NF - Vege.png,n,,,,,,,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,211.0326264000032,211.51240430001053,211.51240430001053,211.54577190001146,214.51187830000708,214.51187830000708,None,214.51187830000708,215.528000300008,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/F - Onion.jpg,y,,,,,,,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,215.528000300008,216.012249899999,216.012249899999,216.02911790000508,219.01179129999946,219.01179129999946,None,219.01179129999946,220.04861040000105,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/F - Elec-Plug.jpg,y,,,,,,,0,19,19,2,,,,,,,,,,,,,,,,,,,,,,,,,220.04861040000105,220.49743260000832,220.49743260000832,220.5631970000104,223.4954160000052,223.4954160000052,None,223.4954160000052,224.51213010000356,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/NF - Elec-Plug.jpg,n,,,,,,,0,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,224.52859870000975,225.01185700000497,225.01185700000497,225.02863600000273,228.0178115000017,228.0178115000017,None,228.0178115000017,,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/AF - Aquamarine.png,y,,,,,,,0,21,21,20,,,,,,,,,,,,,,,,,,,,,,,,,229.18481460001203,229.4957218000054,229.4957218000054,229.6960170000093,232.49575670000922,232.49575670000922,None,232.49575670000922,233.5097958000115,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/F - Tiang.jpg,y,,,,,,,0,22,22,5,,,,,,,,,,,,,,,,,,,,,,,,,233.5097958000115,233.99675330000173,233.99675330000173,234.01215070000035,237.01233080000384,237.01233080000384,None,237.01233080000384,238.03776820001076,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/AF - Knight.png,y,,,,,,,0,23,23,27,,,,,,,,,,,,,,,,,,,,,,,,,238.03776820001076,238.49589550000383,238.49589550000383,238.5459300000075,241.49534520000452,241.49534520000452,None,241.49534520000452,242.51707290000923,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
images/NF - Chilli.png,n,,,,,,,0,24,24,38,,,,,,,,,,,,,,,,,,,,,,,,,242.51707290000923,242.99579720001202,242.99579720001202,243.02965010001208,245.99518700000772,245.99518700000772,None,245.99518700000772,246.99619230000826,723421,001,2023-05-29_00h27.32.650,pareidolia,2023.1.2,60.517778002339504,
