stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoInstruction.stopped,demoFixation.started,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,exp_resp.keys,expFeedback.started,expImg.stopped,exp_resp.stopped,expFeedback.stopped,exp_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.922743300005095,12.922743300005095,y,0.518948700002511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
,,,,,,,,,,,,,,,,13.740280600002734,14.457859700007248,14.741135000003851,15.457770799999707,15.457770799999707,15.957942000008188,15.957942000008188,15.957942000008188,y,0.42501310000079684,16.54121710000618,17.54122759999882,17.54122759999882,17.54122759999882,y,0.3271390000008978,18.03865709999809,18.03865709999809,y,0.9398671999952057,,,,,,,,,,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/F - Bag.jpg,y,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,19.049702400006936,19.513147200006642,19.513147200006642,19.558807399997022,None,22.524115299995174,,,,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - House.jpg,n,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,23.543476399994688,24.00799410000036,24.00799410000036,24.058080200004042,None,27.007959599999595,27.007959599999595,27.007959599999595,28.034572799995658,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/F - Chilli.png,y,,,,,,,0,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,,28.034572799995658,28.50825579999946,28.50825579999946,28.541079200003878,None,31.507766399998218,31.507766399998218,31.507766399998218,32.547344699996756,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Knight.png,y,,,,,,,0,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,,32.547344699996756,33.008076800004346,33.008076800004346,33.05897840000398,None,36.00784220000787,36.00784220000787,36.00784220000787,37.02767409999797,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Elec-Plug.jpg,n,,,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,37.02767409999797,37.50818669999717,37.50818669999717,37.54205279999587,None,40.508402100007515,40.508402100007515,40.508402100007515,41.54455629999575,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - knight.png,n,,,,,,,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,,,,41.54455629999575,41.99220010000863,41.99220010000863,42.05992729999707,None,44.99209709999559,44.99209709999559,44.99209709999559,46.023025600006804,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Panda.jpg,y,,,,,,,0,6,6,29,,,,,,,,,,,,,,,,,,,,,,,,,46.023025600006804,46.49164799999562,46.49164799999562,46.525120499994955,None,49.49163289999706,49.49163289999706,49.49163289999706,50.51559989999805,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Duck.png,y,,,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,,,,,50.51559989999805,50.992070000007516,50.992070000007516,51.02496280000196,None,53.991310299999896,53.991310299999896,53.991310299999896,55.0198381000082,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Tree.jpg,n,,,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,55.0198381000082,55.49162929999875,55.49162929999875,55.525119600002654,None,58.492314500006614,58.492314500006614,58.492314500006614,59.50656850000087,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Bag.jpg,n,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,59.50656850000087,59.99185489999945,59.99185489999945,60.00760769999761,None,63.007684600001085,62.99133380000421,62.99133380000421,64.04302019999886,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Otter.jpg,y,,,,,,,0,10,10,28,,,,,,,,,,,,,,,,,,,,,,,,,64.04302019999886,64.49210580000363,64.49210580000363,64.54203159999452,None,67.49151819999679,67.49151819999679,67.49151819999679,68.50643389999459,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/NF - Bag 2.jpg,n,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,68.50643389999459,68.99832929999684,68.99832929999684,69.01427010000043,None,72.00891960000445,72.00891960000445,72.00891960000445,73.03436330000113,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - girl 1.png,y,,,,,,,0,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,73.03436330000113,73.5083547999966,73.5083547999966,73.54141810000874,None,76.50802199999453,76.50802199999453,76.50802199999453,77.52268419999746,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - Otter.jpg,n,,,,,,,0,13,13,35,,,,,,,,,,,,,,,,,,,,,,,,,77.52268419999746,77.99224560000584,77.99224560000584,78.02503449999494,None,80.99171729999944,80.99171729999944,80.99171729999944,82.00774309999542,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/AF - Fox.jpg,y,,,,,,,0,14,14,26,,,,,,,,,,,,,,,,,,,,,,,,,82.00774309999542,82.49194570000691,82.49194570000691,82.50850799999898,None,85.49202679999871,85.49202679999871,85.49202679999871,86.50909639999736,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF - Cat.jpg,n,,,,,,,0,15,15,31,,,,,,,,,,,,,,,,,,,,,,,,,86.50909639999736,86.99239610000222,86.99239610000222,87.00848489999771,None,89.9916768999974,89.9916768999974,89.9916768999974,91.03575080000155,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
images/ANF- Dance.png,n,,,,,,,0,16,16,36,,,,,,,,,,,,,,,,,,,,,,,,,91.03575080000155,91.4924183999974,91.4924183999974,91.54226780000317,None,94.49189330000081,94.49189330000081,94.49189330000081,95.5064463000017,,753708,001,2023-05-29_00h16.00.247,pareidolia,2023.1.2,60.17263528822907,
