stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoFixation.started,demoInstruction.stopped,demoImage.started,demoResp.started,demoFixation.stopped,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,expImg.stopped,exp_resp.stopped,exp_resp.keys,expFeedback.started,expFeedback.stopped,exp_resp.rt,goodbye.started,goodbye_resp.started,goodbye_resp.keys,goodbye_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9.695323199994164,9.695323199994164,y,4.785176400007913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
,,,,,,,,,,,,,,,,14.528670299972873,15.513135599991074,15.529755099996692,16.50058349999017,16.512989599985303,16.997364899987588,16.997364899987588,17.013501899986295,y,2.1412276000191923,19.16359559999546,20.16284489998361,20.16284489998361,20.16284489998361,y,5.418627100007143,25.613019999989774,25.613019999989774,y,2.398044100002153,,,,,,,,,,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/NF - Object.jpg,y,,,,,,,0,0,0,46,,,,,,,,,,,,,,,,,,,,,,,,,28.066005099972244,28.53024339998956,28.53024339998956,28.58003969999845,31.530498999985866,31.530498999985866,None,31.530498999985866,32.52988659997936,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/ANF - tiger.jpg,n,,,,,,,0,1,1,52,,,,,,,,,,,,,,,,,,,,,,,,,32.52988659997936,33.03056149999611,33.03056149999611,33.03056149999611,36.03028139998787,36.03028139998787,None,36.03028139998787,37.048951099975966,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/NF - House.jpg,n,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,37.048951099975966,37.53047919998062,37.53047919998062,37.56362359999912,40.53010179998819,40.53010179998819,None,40.53010179998819,41.54770019999705,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/AF - Fox.jpg,y,,,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,41.54770019999705,42.03081829997245,42.03081829997245,42.047120899980655,45.03076529997634,45.03076529997634,None,45.03076529997634,46.04948059999151,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/NF - Chilli.png,n,,,,,,,0,4,4,38,,,,,,,,,,,,,,,,,,,,,,,,,46.04948059999151,46.51515249998192,46.51515249998192,46.564013199997135,49.51337529998273,49.51337529998273,None,49.51337529998273,50.52958279999439,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/NF - Moon.png,y,,,,,,,0,5,5,47,,,,,,,,,,,,,,,,,,,,,,,,,50.52958279999439,51.03066910000052,51.03066910000052,51.03066910000052,54.03037839999888,54.03037839999888,None,54.03037839999888,55.06715329998406,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/AF - Otter.jpg,y,,,,,,,0,6,6,28,,,,,,,,,,,,,,,,,,,,,,,,,55.06715329998406,55.53063579997979,55.53063579997979,55.581156399974134,58.53078489998006,58.53078489998006,None,58.53078489998006,59.547005999978865,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
images/AF - Panda.jpg,y,,,,,,,0,7,7,29,,,,,,,,,,,,,,,,,,,,,,,,,59.547005999978865,60.03106569999363,60.03106569999363,60.04813379998086,63.030627100000856,63.030627100000856,None,63.030627100000856,64.04547339997953,,,,,,981665,001,2023-05-29_14h57.33.437,pareidolia,2023.1.2,59.951678941755894,
